时间戳 = 1724636821.233000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.281000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.328000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.374000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.422000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.469000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.517000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.564000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.612000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.663000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.706000  方向盘角度 = -840  油门 = 32767  刹车 = 30947
时间戳 = 1724636821.752000  方向盘角度 = -840  油门 = 32767  刹车 = 30947
时间戳 = 1724636821.797000  方向盘角度 = -840  油门 = 32767  刹车 = 30947
时间戳 = 1724636821.843000  方向盘角度 = -840  油门 = 32767  刹车 = 30687
时间戳 = 1724636821.887000  方向盘角度 = -840  油门 = 32767  刹车 = 30947
